454,427,475,490,477,478,466,467,456,468,445,446,436,422,423,424,406,407,408,409,220,211,204,184,196,187,188,189,205,206,214,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,375,353,403,420,395,404,384,396,385,363,355,346,334,336,322,323,324,317,325,326,327,328,337,339,338,357,367,358,360,368,369,370,371,372,373,379,374,388,380,391,393,0,0,0,0,0,0
428,550,560,561,571,562,552,540,553,542,520,512,513,502,503,492,459,469,471,470,480,496,481,497,482,485,486,473,488,489,465,474,464,463,462,0,0,0,0,0,0,0,0,0,0,0,0,0
563,565,584,585,587,588,576,577,569,516,546,548,547,525,507,506,499,487,443,453,472,461,442,741,739,740,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591,622,661,647,662,649,639,627,628,613,601,602,603,593,581,582,583,630,642,666,683,657,684,667,670,671,659,644,617,618,606,597,568,556,524,505,498,483,460,0,0,0,0,0,0,0,0,0
517,580,610,637,660,673,687,703,714,705,708,709,710,677,678,679,664,665,652,653,641,654,681,693,717,718,719,725,720,721,696,668,669,658,643,616,586,567,745,742,410,0,0,0,0,0,0,0
579,590,634,686,699,713,722,723,726,727,724,715,704,706,707,689,676,663,680,690,711,712,716,691,692,694,695,682,655,656,631,595,574,566,746,0,0,0,0,0,0,0,0,0,0,0,0,0
558,598,645,672,685,698,700,701,702,688,674,675,646,638,623,612,624,650,626,651,640,629,614,615,604,605,594,572,573,564,545,523,495,744,738,0,0,0,0,0,0,0,0,0,0,0,0,0
500,549,557,578,589,607,608,619,633,635,636,620,621,599,611,600,592,570,559,534,535,536,551,538,539,541,554,555,543,544,522,514,515,504,493,494,479,0,0,0,0,0,0,0,0,0,0,0
508,526,509,527,528,529,530,531,518,532,533,519,510,511,501,491,476,455,421,429,430,431,432,433,434,435,447,439,458,448,449,450,451,440,452,441,0,0,0,0,0,0,0,0,0,0,0,0
413,425,411,426,444,412,414,415,416,417,418,400,401,419,402,394,383,376,362,354,345,321,312,313,314,315,316,332,333,335,347,348,349,356,364,365,377,366,378,386,387,397,398,735,0,0,0,0
352,342,343,331,309,310,302,303,304,305,288,289,290,273,274,275,265,256,257,226,217,202,195,208,203,209,218,227,228,229,240,249,262,267,268,291,292,308,329,340,359,0,0,0,0,0,0,0
287,272,253,223,224,198,199,192,181,194,171,172,173,174,175,167,156,157,145,136,137,131,124,107,108,109,110,125,126,132,138,139,148,169,178,182,210,219,232,250,269,294,318,350,733,0,0,0
254,243,237,215,190,166,144,130,121,103,94,84,86,76,77,78,56,57,60,41,43,24,31,33,34,35,36,49,69,81,90,100,112,140,163,183,212,233,263,282,0,0,0,0,0,0,0,0
207,191,153,122,93,75,65,54,30,19,5,7,21,9,10,12,22,25,32,14,2,3,4,15,27,28,64,82,128,134,164,185,221,251,731,0,0,0,0,0,0,0,0,0,0,0,0,0
344,216,154,104,85,55,39,20,6,1,8,11,13,23,48,62,80,89,99,70,26,16,17,18,29,38,72,83,102,117,141,170,186,222,252,271,0,0,0,0,0,0,0,0,0,0,0,0
238,193,155,105,79,66,58,59,40,42,44,45,46,47,61,67,68,88,111,127,149,162,101,71,50,51,52,53,73,74,91,92,119,129,142,143,165,180,197,213,235,264,728,734,0,0,0,0
306,255,200,176,158,146,123,106,95,96,87,97,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,244,225,201,177,168,159,160,147,161,179,151,133,113,114,115,116,118,120,135,152,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,311,307,276,258,259,245,246,239,230,247,231,241,242,248,260,261,277,278,279,293,280,281,295,296,283,297,284,285,286,299,301,300,319,330,351,361,381,392,390,736,389,399,730,729,341,732,0
